week,rank,track_name,artist_names,streams,weeks_on_chart,peak_rank,release_date,Platform,Region
24/07/2025,1,DAISIES,Justin Bieber,2445712,2,1,11/07/2025,Spotify,Australia
24/07/2025,2,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1933714,5,2,20/06/2025,Spotify,Australia
24/07/2025,3,Ordinary,Alex Warren,1897814,24,1,26/09/2024,Spotify,Australia
24/07/2025,4,Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",1437230,5,4,20/06/2025,Spotify,Australia
24/07/2025,5,undressed,sombr,1413023,18,2,21/03/2025,Spotify,Australia
24/07/2025,6,No Broke Boys,"Disco Lines, Tinashe",1353374,7,6,06/06/2025,Spotify,Australia
24/07/2025,7,back to friends,sombr,1347120,19,2,27/12/2024,Spotify,Australia
24/07/2025,8,Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",1306766,5,8,20/06/2025,Spotify,Australia
24/07/2025,9,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1283030,5,9,20/06/2025,Spotify,Australia
24/07/2025,10,Eternity,Alex Warren,1263517,1,10,18/07/2025,Spotify,Australia
31/07/2025,1,DAISIES,Justin Bieber,2078584,3,1,11/07/2025,Spotify,Australia
31/07/2025,2,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2061041,6,2,20/06/2025,Spotify,Australia
31/07/2025,3,Ordinary,Alex Warren,1778344,25,1,26/09/2024,Spotify,Australia
31/07/2025,4,back to friends,sombr,1492584,20,2,27/12/2024,Spotify,Australia
31/07/2025,5,Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",1480257,6,4,20/06/2025,Spotify,Australia
31/07/2025,6,Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",1372154,6,6,20/06/2025,Spotify,Australia
31/07/2025,7,No Broke Boys,"Disco Lines, Tinashe",1359128,8,6,06/06/2025,Spotify,Australia
31/07/2025,8,undressed,sombr,1350711,19,2,21/03/2025,Spotify,Australia
31/07/2025,9,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1309205,6,9,20/06/2025,Spotify,Australia
31/07/2025,10,What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1142677,6,10,20/06/2025,Spotify,Australia
07/08/2025,1,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2241414,7,1,20/06/2025,Spotify,Australia
07/08/2025,2,DAISIES,Justin Bieber,1938910,4,1,11/07/2025,Spotify,Australia
07/08/2025,3,Ordinary,Alex Warren,1799212,26,1,26/09/2024,Spotify,Australia
07/08/2025,4,back to friends,sombr,1554819,21,2,27/12/2024,Spotify,Australia
07/08/2025,5,No Broke Boys,"Disco Lines, Tinashe",1538511,9,5,06/06/2025,Spotify,Australia
07/08/2025,6,Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",1535930,7,4,20/06/2025,Spotify,Australia
07/08/2025,7,The Subway,Chappell Roan,1508369,1,7,01/08/2025,Spotify,Australia
07/08/2025,8,Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",1436351,7,6,20/06/2025,Spotify,Australia
07/08/2025,9,undressed,sombr,1360214,20,2,21/03/2025,Spotify,Australia
07/08/2025,10,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1328241,7,9,20/06/2025,Spotify,Australia
14/08/2025,1,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2341049,8,1,20/06/2025,Spotify,Australia
14/08/2025,2,Ordinary,Alex Warren,1760843,27,1,26/09/2024,Spotify,Australia
14/08/2025,3,DAISIES,Justin Bieber,1712704,5,1,11/07/2025,Spotify,Australia
14/08/2025,4,No Broke Boys,"Disco Lines, Tinashe",1683418,10,4,06/06/2025,Spotify,Australia
