week,rank,track_name,artist_names,views,weeks_on_chart,release_date,Platform,Region
24/07/2025,1,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,1204415,5,19/06/2025,YouTube,Australia
24/07/2025,2,Soda Pop,Saja Boys & Andrew Choi & Neckwav & Danny Chung & KEVIN WOO & samUIL Lee & KPop Demon Hunters Cast,916390,5,19/06/2025,YouTube,Australia
24/07/2025,3,TAKEDOWN (JEONGYEON JIHYO CHAEYOUNG),TWICE,637249,5,23/06/2025,YouTube,Australia
24/07/2025,4,Ordinary,Alex Warren,515854,22,26/09/2024,YouTube,Australia
24/07/2025,5,APT.,ROSÉ & Bruno Mars,483590,40,18/10/2024,YouTube,Australia
24/07/2025,6,Your Idol,Saja Boys & Andrew Choi & Neckwav & Danny Chung & KEVIN WOO & samUIL Lee & KPop Demon Hunters Cast,463178,5,19/06/2025,YouTube,Australia
24/07/2025,7,Beautiful Things,Benson Boone,389339,79,18/01/2024,YouTube,Australia
24/07/2025,8,Free,Rumi & Jinu & EJAE & Andrew Choi & KPop Demon Hunters Cast,385276,5,19/06/2025,YouTube,Australia
24/07/2025,9,Lose Control (Live),Teddy Swims,369785,100,22/06/2023,YouTube,Australia
24/07/2025,10,Sapphire,Ed Sheeran,330985,7,27/05/2025,YouTube,Australia
31/07/2025,1,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,1436229,6,19/06/2025,YouTube,Australia
31/07/2025,2,Soda Pop,Saja Boys & Andrew Choi & Neckwav & Danny Chung & KEVIN WOO & samUIL Lee & KPop Demon Hunters Cast,1107565,6,19/06/2025,YouTube,Australia
31/07/2025,3,Your Idol,Saja Boys & Andrew Choi & Neckwav & Danny Chung & KEVIN WOO & samUIL Lee & KPop Demon Hunters Cast,762992,6,19/06/2025,YouTube,Australia
31/07/2025,4,TAKEDOWN (JEONGYEON JIHYO CHAEYOUNG),TWICE,744306,6,23/06/2025,YouTube,Australia
31/07/2025,5,Ordinary,Alex Warren,516305,23,26/09/2024,YouTube,Australia
31/07/2025,6,Saiyaara,Faheem Abdullah,468631,2,03/06/2025,YouTube,Australia
31/07/2025,7,Free,Rumi & Jinu & EJAE & Andrew Choi & KPop Demon Hunters Cast,419550,6,19/06/2025,YouTube,Australia
31/07/2025,8,APT.,ROSÉ & Bruno Mars,414723,41,18/10/2024,YouTube,Australia
31/07/2025,9,Sapphire,Ed Sheeran,389701,8,27/05/2025,YouTube,Australia
31/07/2025,10,Beautiful Things,Benson Boone,386613,80,18/01/2024,YouTube,Australia
07/08/2025,1,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,1530810,7,19/06/2025,YouTube,Australia
07/08/2025,2,Soda Pop,Saja Boys & Andrew Choi & Neckwav & Danny Chung & KEVIN WOO & samUIL Lee & KPop Demon Hunters Cast,1271552,7,19/06/2025,YouTube,Australia
